,Titular,URL,Usuari,Entrada,Meneos,Clics,Comentaris,Vots Positius,Vots Anònims,Vots Negatius,Categoria,Karma,Data Submissió
0, Comunicado Sociedad Española de Trombosis y Hemostasia sobre AstraZeneca ,https://www.seth.es/index.php/noticias/noticias/noticias-de-la-seth/1793-alarmas-relacionadas-con-la-vacuna.html,Inutil,"Desde la Sociedad Española de Trombosis y Hemostasia (SETH) hemos seguido con mucha atención y cautela el desarrollo de estos acontecimientos, y nos parece muy conveniente presentar una opinión formada sobre la evidencia disponible.",38,363,8,30,8,5,actualidad,449,11-04-21 23:59
1, El explorador muere en el hielo ,https://www.revistamercurio.es/2021/04/11/el-explorador-muere-en-el-hielo/,Tieso,"15 de enero en la Antártida. Pleno verano con -42ºC, en las mismas latitudes donde dentro de unos meses esta media bajará a -72ºC. Hoy, una tienda de campaña roja rompe la uniformidad blanca. Dentro duerme un hombre, completamente solo en uno de los puntos más inaccesibles del planeta. Ha venido andando desde el otro extremo del continente. Se llama Henry Worsley.",24,575,1,20,4,0,cultura,440,11-04-21 12:38
2, Cuando el banco se convierte en juez y 'condena' a imputados a cerrar sus cuentas ,https://www.elconfidencial.com/amp/espana/2021-04-11/imputados-banco-cierre-cuentas-tarjetas_3028680/,Octaviano,"Una llamada, una carta y, de la noche a la mañana, has sido expulsado de tu banco. ¿El motivo? Sus responsables de 'compliance' consideran que puedes estar relacionado con el blanqueo de capitales o la financiación del terrorismo. No hace falta condena. Basta con ser imputado o con que tu nombre aparezca en la lista negra de un organismo de control financiero. El cliente se queda sin cuenta, sin tarjeta y sin presunción de inocencia.",57,249,12,35,22,0,actualidad,434,11-04-21 21:40
3, La Comunidad de Madrid suspende la actividad investigadora de Vivotecnia tras constatar indicios de maltrato animal ,https://www.europapress.es/madrid/noticia-comunidad-madrid-suspende-actividad-investigadora-vivotecnia-constatar-indicios-maltrato-animal-20210411124012.html,unmundofeliz,"El Gobierno regional ha explicado en un comunicado que, tras tener conocimiento el pasado jueves de un video y tras comprobar la existencia de dichos hechos, se procedió a suspender de manera temporal la actividad investigadora con la prohibición expresa de realizar nuevos proyectos con animales. ""Se ha asegurado el bienestar de los animales residentes en el laboratorio, que han quedado bajo el cuidado y supervisión constante"". El Gobierno madrileño contempla el traslado de los animales a centros de acogida para su posterior puesta en adopción.",172,278,13,103,69,0,Rescates,428,11-04-21 20:26
4, 13 películas imprescindibles de ciencia-ficción que demuestran que los efectos especiales no son necesarios ,https://www.xataka.com/cine-y-tv/13-peliculas-imprescindibles-ciencia-ficcion-que-demuestran-que-efectos-especiales-no-necesarios,ChanVader,"Hay un tópico asociado férreamente al género de la ciencia-ficción, y no son los marcianos o los viajes en el tiempo: alude a su propia naturaleza y hace referencia a que es un género de ideas. Es decir, una buena idea puede sostener por sí sola una historia de ciencia-ficción. Sobra decir que si ese tópico ha sobrevivido durante décadas es porque... es cierto.",77,3155,41,54,23,11,actualidad,527,11-04-21 22:22
5, Un rayo impacta en el Pirulí ,https://zonaretiro.com/sucesos/video-rayo-piruli-torrespana-madrid-10-abril-2021/,Lord_Cromwell,"Este tormentoso sábado 10 de abril de 2021 por la noche, exactamente a las 21.30 horas, un rayo impactó en el Pirulí de Torrespaña, en cuya cima a más de 232 metros de altura hay un pararrayos. Este vídeo muestra el momento exacto en el que cae el rayo en el Pirulí. Media hora después, otro rayo caía a ocho kilómetros de allí, impactando directamente en el hombro de un madrileño de 40 años, que está grave.",71,1460,17,48,23,3,actualidad,543,11-04-21 21:30
6, Pujol: los secretos de Andorra (cat) ,https://www.ccma.cat/tv3/alacarta/30-minuts/pujol-els-secrets-dandorra/video/6094174/,candonga1,"Reportaje especial de producción propia de larga duración donde se presenta, después de 8 años de instrucción, la reconstrucción del caso judicial de la familia Pujol.",116,332,32,61,55,1,politica,454,11-04-21 22:29
7, El ex presidente de Vox en Melilla gastó 81.000 euros del Colegio de Médicos en comprar un perro o ropa íntima femenina ,https://www.lavozdelsur.es/actualidad/politica/ex-presidente-vox-en-melilla-gasto-81000-euros-colegio-medicos-en-comprar-perro-ropa-intima-femenina_258391_102.html,KeepYourCoins,"El Colegio de Médicos de Melilla ha denunciado al ex presidente de Vox y actual diputado no adscrito en la Asamblea melillense, Jesús Delgado Aboy, por algunos de los gastos que realizó con la tarjeta bancaria de la entidad cuando presidía la misma, que ascendieron a 81.300 euros en dos años, concretamente por varios pagos que al parecer no tienen relación con la entidad médica.",348,427,47,164,184,1,actualidad,469,11-04-21 21:32
8, Varias columnas de monedas y una casa en miniatura sobre una mesa para explicar algo de vivienda muy difícil de entender ,https://www.elmundotoday.com/2021/04/hemos-puesto-varias-columnas-de-monedas-y-una-casa-en-miniatura-sobre-una-mesa-para-explicar-algo-de-vivienda-muy-dificil-de-entender/,ChanVader,"Con la finalidad de explicar un concepto inmobiliario muy complejo, hemos puesto varias columnas de monedas y una casa en miniatura sobre una mesa y hemos sacado una foto del bodegón. Con esta imagen pretendemos hacer ver al lector lo complicado que es explicar este concepto tan difícil de entender.",139,2869,13,79,60,7,actualidad,477,11-04-21 21:25
9, La peligrosidad de la vacuna de Astra Zeneca ,https://esmola.wordpress.com/2021/04/11/la-peligrosidad-de-la-vacuna-de-astra-zeneca/,SRAD,,192,2688,92,105,87,5,ciencia,432,11-04-21 14:35
10," Intolerable batalla campal en la Tercera división catalana, hasta la afición saltó a pegarse ",https://videos.marca.com/v/0_7k0s1mxl-intolerable-batalla-campal-en-la-tercera-catalana-hasta-la-aficion-salto-a-pegarse?uetv_pl=0&count=0,tyler51,La cuenta de Twitter @CatalunyaFutbol compartió estas lamentables imágenes de un partido de Tercera división catalana. El Bon Pastor y el UD Carmelo se enfrentaron este fin de semana y el partido acabó en batalla campal. Hasta los aficionados saltaron a pegarse. El árbitro finalizó el encuentro en ese momento.,121,1935,61,75,46,6,actualidad,425,11-04-21 17:32
11," Desclasifican documentos sobre los primeros cosmonautas de la URSS: Yuri Gagarin, Guerman Titov y Alexéi Leónov ",https://redhistoria.com/desclasifican-documentos-sobre-los-primeros-cosmonautas-de-la-urss-yuri-gagarin-guerman-titov-y-alexei-leonov/,Mysanthropus,"Con motivo del 60.º aniversario del primer vuelo tripulado al espacio, el Ministerio de Defensa ruso publicó documentos de archivo sobre los cosmonautas y líderes del programa espacial soviético que dieron inicio a la era de los vuelos espaciales tripulados. Los objetos históricos (fotografías, certificados, misiones de vuelo y otros documentos de archivo) están presentados en el marco del proyecto multimedia especial bautizado ‘Las órbitas terrestres de los conquistadores del espacio’.",125,599,33,69,56,0,cultura,427,11-04-21 20:42
12," Cien días después del ‘brexit’, el comercio se desploma y crece la desconfianza política ",https://www.noticiasdegipuzkoa.eus/actualidad/union-europea/2021/04/11/cien-dias-despues-brexit-comercio/1103015.html,nereira,"Cien días después de materializarse el brexit, el comercio en el canal de la Mancha ha sufrido el mayor desplome del que se tienen registros y la confianza política entre Londres y Bruselas ha quedado minada por las decisiones unilaterales del Reino Unido en Irlanda del Norte, así como por la guerra de las vacunas. El impacto en las importaciones es menor debido a que el Reino Unido ha aplazado hasta 2022 los controles a las mercancías que llegan al país desde la UE, precisamente para tratar de amortiguar el golpe económico del brexit.",309,1802,83,157,152,3,actualidad,415,11-04-21 08:58
13," El hijo o hija que herede bienes por 800.000 € pagará en Asturias 103.135 €, 1.586 en Madrid y cero en Andalucía ",https://elpais.com/economia/2021-03-24/la-comunidad-valenciana-es-la-autonomia-que-mas-grava-las-rentas-altas-y-madrid-la-que-menos.html?outputType=amp&ssm=TW_CM&__twitter_impression=true,rodda2206,,379,1526,319,153,226,3,actualidad,455,11-04-21 20:24
14, La OMS da categoría de excelencia a la vacuna cubana “Soberana 2” ,https://infopractica.com.uy/2021/04/08/la-oms-dio-categoria-de-excelencia-a-la-vacuna-cubana-contra-el-coronavirus-soberana-2/,robustiano,"La Organización Mundial de la Salud (OMS) da categoría de excelencia a la vacuna cubana contra el Covid-19 ""Soberana 2”. La vacuna, apta para uso pediátrico, es el resultado de la combinación del antígeno del virus y un toxoide tetánico que evitaría el contagio de los vacunados.",692,3172,124,279,413,22,actualidad,673,11-04-21 21:16
15," Por qué ""Los siete samuráis"" de Kurosawa es una de las películas más influyentes de la historia ",https://www.espinof.com/cine-clasico/por-que-los-siete-samurais-es-una-de-las-peliculas-mas-influyentes-de-la-historia,Waskachu,"El experto videoanalista Fandor ha realizado un vídeo examinando una influencia que se extiende a lo largo del tiempo hasta llegar a producciones de ahora mismo: de la acción frenética a las impactantes explosiones de violenia, de la composición de los planos a la misma línea argumental. Esta es la influencia de 'Los siete samuráis'.",161,2231,46,96,65,3,cultura,386,10-04-21 11:01
16, Rusia prohíbe definitivamente el matrimonio homosexual ,https://www.togayther.es/noticias/lgtbifobia/rusia-prohibe-definitivamente-el-matrimonio-homosexual/,baraja,,253,617,172,210,43,5,politica,2017,11-04-21 11:50
17," Nuno Bettencourt,Steve Vai, Brian May, Zakk Wylde, Yngwie Malmsteen,Tosin Abasi interpretan Bohemian Rhapsody desde casa ",https://www.youtube.com/watch?v=i3JybLTO_3g,TresPiesAlGato,Colaboración online donde interpretan Bohemian Rhapsody de Queen,220,3919,44,106,114,1,ocio,419,11-04-21 15:39
18, ¿Por qué fracasó la II República? Las razones de la transformación inacabada de España ,https://www.eldiario.es/sociedad/fracaso-ii-republica-razones-transformacion-inacabada-espana_1_7390010.html,Cehona,"Los historiadores Paul Preston, Pura Sánchez y Ángel Viñas analizan cómo el periodo republicano quiso cambiar el país y cómo las oligarquías patrias destrozaron el proyecto. España, en los años 30 del siglo pasado, mantiene una estructura casi medieval: en los pueblos mandan el cacique, el alcalde y el cura. Y el proceso de transformación de la II República busca un cambio radical que coloque al país como una de las democracias más avanzadas del momento.",369,2996,222,169,200,39,actualidad,442,11-04-21 13:35
19," A prisión el ladrón más activo de Barcelona, con 113 detenciones ",https://www.niusdiario.es/sociedad/sucesos/prision-ladron-mas-activo-barcelona-113-detenciones-22-anos-tapa-alcantarilla_18_3120870034.html?amp=true,pabloMll,"Lanzaba tapas de alcantarilla a los escaparates para entrar en comercios y llevarse móviles, ordenadores, ropa de marca, etc.",272,2036,119,130,142,2,actualidad,423,11-04-21 14:32
20," Rapados por ""invertidos y rojos"" tras la victoria golpista en la guerra civil ",https://www.publico.es/politica/rapados-invertidos-y-rojos-victoria.html,pinaveta,"En la España en guerra del verano del 36 no resultó fácil documentar la represión invisible de palizas, rapado y la purga de aceite de ricino. Estos hechos, simplemente se anularon, se borraron del mapa. Sin embargo, han podido llegar hasta nuestros días legajos, testimonios que evidencian aquellas formas de castigo que se usaron específicamente contra mujeres. Y que los archivos han revelado que también se materializaba, en algunas ocasiones, en hombres. Existen escasas fotografías que reflejen esta humillación en ""aquellas rapadas"".",376,2005,28,171,205,15,GuerraCivilñ,460,11-04-21 15:11
21, Sargadelos no cede a la hora de defender sus diseños ante Dolce & Gabbana ,https://www.lavozdegalicia.es/noticia/sociedad/2021/04/11/sargadelos-cede-hora-defender-disenos-ante-dolce-gabbana/0003_202104G11P30993.htm,oghaio,"La empresa gallega insiste en que los diseños de la firma de moda presentan parecidos evidentes con sus decorados, como el Monférico, comercializado desde 1967.",257,5524,34,113,144,2,actualidad,451,11-04-21 14:08
